subID,domEyeR,threshStHi,threshStLo,thresh,Trial_number,Sentence_ID,Sentence_pixel_length,Congruent,Familiar,LocationTop,Cued,Trialcorrect,Trialbroken,ST
2,1,0.8,0.15,0.475,1,21,114,1,1,0,1,1,1,1.4244
2,1,0.8,0.15,0.475,2,19,115,1,1,1,0,0,1,1.4893
2,1,0.8,0.15,0.475,3,8,129,1,1,1,1,1,1,1.7798
2,1,0.8,0.15,0.475,4,21,109,0,0,1,1,1,1,1.619
2,1,0.8,0.15,0.475,5,9,125,1,1,0,0,1,1,1.2445
2,1,0.8,0.15,0.475,6,11,125,0,0,1,0,1,1,1.4919
2,1,0.8,0.15,0.475,7,11,123,1,1,1,1,1,1,1.9397
2,1,0.8,0.15,0.475,8,7,128,0,0,1,1,1,1,1.9862
2,1,0.8,0.15,0.475,9,31,0,0,0,0,0,0,0,0.0065463
2,1,0.8,0.15,0.475,10,16,128,1,0,1,1,1,1,1.8332
2,1,0.8,0.15,0.475,11,5,133,1,0,1,0,1,1,1.9854
2,1,0.8,0.15,0.475,12,22,115,0,0,0,1,1,1,1.2929
2,1,0.8,0.15,0.475,13,6,129,0,0,1,0,1,1,1.4184
2,1,0.8,0.15,0.475,14,5,129,0,1,0,1,1,1,1.3891
2,1,0.8,0.15,0.475,15,27,106,1,1,0,1,1,1,1.2885
2,1,0.8,0.15,0.475,16,3,129,1,0,1,1,1,1,1.5819
2,1,0.8,0.15,0.475,17,31,0,1,0,0,1,1,1,1.417
2,1,0.8,0.15,0.475,18,27,106,1,0,0,1,1,1,1.2128
2,1,0.8,0.15,0.475,19,19,115,1,1,1,1,1,1,1.4763
2,1,0.8,0.15,0.475,20,18,117,0,0,1,0,0,0,0.01167
2,1,0.8,0.15,0.475,21,24,110,1,0,0,0,1,1,1.2857
2,1,0.8,0.15,0.475,22,30,96,1,1,0,1,1,1,1.2969
2,1,0.8,0.15,0.475,23,21,114,1,0,1,1,1,1,1.8571
2,1,0.8,0.15,0.475,24,10,124,1,1,0,1,1,1,1.2339
2,1,0.8,0.15,0.475,25,9,129,0,1,0,0,1,1,1.2863
2,1,0.8,0.15,0.475,26,27,104,0,0,1,1,1,1,1.5614
2,1,0.8,0.15,0.475,27,15,121,0,1,0,1,1,1,1.3569
2,1,0.8,0.15,0.475,28,5,133,1,0,0,1,1,1,1.2647
2,1,0.8,0.15,0.475,29,19,112,0,0,1,1,1,1,1.4871
2,1,0.8,0.15,0.475,30,8,128,0,1,0,1,1,1,1.2225
2,1,0.8,0.15,0.475,31,12,122,1,1,1,0,1,1,1.6584
2,1,0.8,0.15,0.475,32,16,128,1,1,0,1,1,1,1.3026
2,1,0.8,0.15,0.475,33,15,116,1,0,1,0,1,1,1.4605
2,1,0.8,0.15,0.475,34,13,118,1,0,1,0,1,1,1.5713
2,1,0.8,0.15,0.475,35,26,106,1,0,0,1,1,1,1.5281
2,1,0.8,0.15,0.475,36,14,115,0,0,0,0,1,1,1.3005
2,1,0.8,0.15,0.475,37,2,131,1,0,1,0,1,1,1.5967
2,1,0.8,0.15,0.475,38,11,123,1,1,1,0,1,1,1.6477
