subID,Trial_number,Sentence_ID,Sentence_pixel_length,Congruent_1,Familiar_1,LocationTop_1,Cued_1,Trialcorrect_1,Trialbroken_1,ST
0,3,3,133,2,1,2,2,1,1,1.6619
51,30,30,97,2,1,1,2,1,1,1.9195
51,3,3,129,1,2,1,1,1,1,1.4326
0,13,13,118,2,1,2,2,1,1,1.3142
51,22,22,111,1,2,1,1,0,0,0.0021239
51,4,4,128,1,2,2,1,1,1,1.6701
51,21,21,114,1,2,1,2,1,1,1.8699
51,29,29,93,1,1,2,2,1,1,1.827
51,15,15,121,2,1,1,1,1,1,1.6587
51,2,2,131,1,1,1,1,1,1,1.6628
51,20,20,110,1,1,2,1,1,1,1.6109
51,1,1,136,2,2,1,1,1,1,1.4731
51,14,14,121,1,1,2,2,1,1,1.4345
51,32,32,0,2,1,1,1,0,0,0.014953
51,25,25,106,1,1,2,1,1,1,1.4278
51,9,9,129,2,2,2,1,1,1,1.4766
51,17,17,113,1,1,1,2,1,1,1.5839
51,13,13,118,2,2,2,1,1,1,1.7464
51,29,29,102,2,1,1,2,1,1,1.3913
51,26,26,105,2,1,1,2,1,1,1.878
51,26,26,105,2,2,1,1,1,1,1.631
51,27,27,104,2,2,2,2,1,1,1.6298
51,5,5,129,2,1,2,2,1,1,1.4527
51,7,7,127,1,2,1,2,1,1,1.4282
51,30,30,96,1,2,1,1,1,1,1.917
51,19,19,112,2,2,2,1,0,0,0.0091524
51,5,5,129,2,1,1,1,1,1,1.3353
51,21,21,114,1,1,2,1,1,1,1.7858
51,11,11,125,2,1,2,1,1,1,1.3602
51,13,13,118,1,2,1,1,1,1,1.2893
51,8,8,129,1,2,2,1,0,0,0.011985
51,13,13,118,2,1,1,1,1,1,1.8332
51,30,30,96,1,2,2,2,1,1,1.6151
51,32,32,0,1,1,1,1,1,1,1.7762
51,28,28,108,1,2,2,1,1,1,1.5374
51,27,27,104,2,2,1,2,1,1,1.8975
51,24,24,110,1,2,2,2,1,1,1.3045
51,2,2,131,1,1,1,2,1,1,1.7383
51,22,22,111,1,2,1,2,1,1,1.5123
51,4,4,125,2,2,1,2,1,1,1.5832
51,8,8,129,1,1,2,1,1,1,1.7711
51,2,2,133,2,1,1,2,1,1,1.6889
51,29,29,102,2,1,2,2,1,1,1.6347
51,7,7,128,2,2,2,1,1,1,1.5596
51,8,8,128,2,2,2,2,1,1,1.6318
51,31,31,0,2,2,1,1,0,0,0.014696
