Trial_number,Sentence_ID,Sentence_pixel_length,Congruent_1,Familiar_1,LocationTop_1,Cued_1,Trialcorrect_1,Trialbroken_1,ST
0,0,0,0,0,0,0,0,0,0.0013516
0,0,0,0,0,0,0,0,0,0.011169
0,0,0,0,0,0,0,0,0,0.0042062
0,0,0,0,0,0,0,0,0,0.0058162
0,0,0,0,0,0,0,1,1,1.7875
0,0,0,0,0,0,0,2,1,0.9198
0,0,0,0,0,0,0,0,0,0.014312
0,0,0,0,0,0,0,0,0,0.0034735
0,0,0,0,0,0,0,0,0,0.0096973
0,0,0,0,0,0,0,2,1,1.6026
0,0,0,0,0,0,0,1,1,1.8033
0,0,0,0,0,0,0,1,1,1.1047
0,0,0,0,0,0,0,2,1,0.99048
0,0,0,0,0,0,0,1,1,1.2384
0,0,0,0,0,0,0,2,1,0.97087
0,0,0,0,0,0,0,1,1,0.85445
0,0,0,0,0,0,0,1,1,1.2178
0,0,0,0,0,0,0,1,1,0.8396
0,0,0,0,0,0,0,1,1,0.92763
0,0,0,0,0,0,0,1,1,1.3594
0,0,0,0,0,0,0,1,1,1.3205
0,0,0,0,0,0,0,1,1,1.0242
0,0,0,0,0,0,0,1,1,1.5614
0,0,0,0,0,0,0,1,1,1.8734
0,0,0,0,0,0,0,2,1,1.0373
0,0,0,0,0,0,0,2,1,0.95305
0,0,0,0,0,0,0,0,0,0.011505
0,0,0,0,0,0,0,1,1,1.5497
0,0,0,0,0,0,0,2,1,0.99661
0,0,0,0,0,0,0,1,1,1.9933
0,0,0,0,0,0,0,1,1,1.6209
0,0,0,0,0,0,0,0,0,0.011123
0,0,0,0,0,0,0,1,1,1.6968
0,0,0,0,0,0,0,1,1,1.533
0,0,0,0,0,0,0,0,0,0.0011381
0,0,0,0,0,0,0,1,1,1.4339
0,0,0,0,0,0,0,2,1,1.1544
0,0,0,0,0,0,0,0,0,0.010204
0,0,0,0,0,0,0,1,1,1.2185
0,0,0,0,0,0,0,1,1,1.6393
0,0,0,0,0,0,0,0,0,0.011266
0,0,0,0,0,0,0,2,1,1.8758
0,0,0,0,0,0,0,1,1,1.3639
0,0,0,0,0,0,0,0,0,0.0064704
0,0,0,0,0,0,0,1,1,1.5062
0,0,0,0,0,0,0,2,1,0.94026
0,0,0,0,0,0,0,0,0,0.0014945
0,0,0,0,0,0,0,1,1,1.004
0,0,0,0,0,0,0,1,1,1.247
0,0,0,0,0,0,0,1,1,1.3527
0,0,0,0,0,0,0,1,1,0.95456
0,0,0,0,0,0,0,0,0,0.014689
0,0,0,0,0,0,0,1,1,0.85488
0,0,0,0,0,0,0,1,1,1.0526
0,0,0,0,0,0,0,1,1,1.0005
0,0,0,0,0,0,0,1,1,1.4624
0,0,0,0,0,0,0,1,1,0.92176
0,0,0,0,0,0,0,0,0,0.011039
0,0,0,0,0,0,0,1,1,1.3394
0,0,0,0,0,0,0,1,1,1.4148
0,0,0,0,0,0,0,1,1,1.1381
0,0,0,0,0,0,0,1,1,1.6463
0,0,0,0,0,0,0,2,1,1.1413
0,0,0,0,0,0,0,1,1,0.98554
