Trial_number,Sentence_ID,Sentence_pixel_length,Congruent_1,Familiar_1,LocationTop_1,Cued_1,Trialcorrect_1,Trialbroken_1,ST
0,0,0,0,0,0,0,2,1,1.1425
0,0,0,0,0,0,0,1,1,3.8727
0,0,0,0,0,0,0,2,1,2.2875
0,0,0,0,0,0,0,1,1,1.7791
0,0,0,0,0,0,0,2,1,1.1863
0,0,0,0,0,0,0,2,1,1.0978
0,0,0,0,0,0,0,2,1,1.148
0,0,0,0,0,0,0,1,1,2.9057
0,0,0,0,0,0,0,1,1,2.479
0,0,0,0,0,0,0,2,1,1.4402
0,0,0,0,0,0,0,1,1,1.36
0,0,0,0,0,0,0,1,1,1.2474
0,0,0,0,0,0,0,1,1,1.3851
0,0,0,0,0,0,0,2,1,1.4336
0,0,0,0,0,0,0,1,1,1.4004
0,0,0,0,0,0,0,2,1,2.0319
0,0,0,0,0,0,0,1,1,2.1119
0,0,0,0,0,0,0,1,1,1.2366
0,0,0,0,0,0,0,1,1,1.2956
0,0,0,0,0,0,0,1,1,1.3393
0,0,0,0,0,0,0,1,1,2.094
0,0,0,0,0,0,0,1,1,1.4807
0,0,0,0,0,0,0,1,1,1.1964
0,0,0,0,0,0,0,2,1,1.2093
0,0,0,0,0,0,0,1,1,1.678
0,0,0,0,0,0,0,2,1,1.5201
0,0,0,0,0,0,0,1,1,1.2963
0,0,0,0,0,0,0,1,1,1.663
0,0,0,0,0,0,0,1,1,1.8349
0,0,0,0,0,0,0,1,1,1.9548
0,0,0,0,0,0,0,1,1,1.9056
0,0,0,0,0,0,0,2,1,2.3623
0,0,0,0,0,0,0,2,1,2.4628
0,0,0,0,0,0,0,1,1,1.3159
0,0,0,0,0,0,0,1,1,1.2498
0,0,0,0,0,0,0,1,1,1.3218
0,0,0,0,0,0,0,1,1,1.4774
0,0,0,0,0,0,0,1,1,1.4384
0,0,0,0,0,0,0,1,1,1.3272
0,0,0,0,0,0,0,1,1,1.4106
0,0,0,0,0,0,0,1,1,1.6104
0,0,0,0,0,0,0,1,1,1.18
0,0,0,0,0,0,0,1,1,1.5049
0,0,0,0,0,0,0,2,1,1.4505
0,0,0,0,0,0,0,2,1,2.1296
0,0,0,0,0,0,0,1,1,1.3906
0,0,0,0,0,0,0,1,1,4.4354
0,0,0,0,0,0,0,1,1,1.4011
0,0,0,0,0,0,0,1,1,1.3712
0,0,0,0,0,0,0,2,1,2.2185
0,0,0,0,0,0,0,1,1,1.9433
0,0,0,0,0,0,0,1,1,1.3897
0,0,0,0,0,0,0,1,1,2.362
0,0,0,0,0,0,0,2,1,1.3221
0,0,0,0,0,0,0,1,1,1.2862
0,0,0,0,0,0,0,1,1,1.0942
