Trial_number,Sentence_ID,Sentence_pixel_length,Congruent_1,Familiar_1,LocationTop_1,Cued_1,Trialcorrect_1,Trialbroken_1,ST
0,0,0,0,0,0,0,1,1,4.1497
0,0,0,0,0,0,0,2,1,2.4738
0,0,0,0,0,0,0,2,1,4.5808
0,0,0,0,0,0,0,2,1,1.1405
0,0,0,0,0,0,0,2,1,4.1325
0,0,0,0,0,0,0,2,1,1.0277
0,0,0,0,0,0,0,1,1,1.4001
0,0,0,0,0,0,0,1,1,2.8073
0,0,0,0,0,0,0,0,0,5.0113
0,0,0,0,0,0,0,1,1,1.725
0,0,0,0,0,0,0,1,1,1.052
0,0,0,0,0,0,0,1,1,1.4075
0,0,0,0,0,0,0,2,1,0.91436
0,0,0,0,0,0,0,1,1,1.4472
0,0,0,0,0,0,0,1,1,0.97183
0,0,0,0,0,0,0,2,1,1.4021
0,0,0,0,0,0,0,1,1,1.0623
0,0,0,0,0,0,0,1,1,1.1922
0,0,0,0,0,0,0,1,1,1.2208
0,0,0,0,0,0,0,1,1,1.3562
0,0,0,0,0,0,0,1,1,1.2871
0,0,0,0,0,0,0,1,1,1.4053
0,0,0,0,0,0,0,2,1,1.1816
0,0,0,0,0,0,0,2,1,1.1582
0,0,0,0,0,0,0,1,1,1.2391
0,0,0,0,0,0,0,1,1,1.4165
0,0,0,0,0,0,0,2,1,1.0501
0,0,0,0,0,0,0,0,0,5.0086
0,0,0,0,0,0,0,2,1,1.1222
0,0,0,0,0,0,0,1,1,1.6706
0,0,0,0,0,0,0,1,1,1.6359
0,0,0,0,0,0,0,1,1,1.4655
0,0,0,0,0,0,0,1,1,1.979
0,0,0,0,0,0,0,2,1,1.5983
0,0,0,0,0,0,0,0,0,5.0124
0,0,0,0,0,0,0,1,1,1.9236
0,0,0,0,0,0,0,1,1,1.8801
0,0,0,0,0,0,0,0,0,5.0061
0,0,0,0,0,0,0,2,1,1.6783
0,0,0,0,0,0,0,1,1,1.9943
0,0,0,0,0,0,0,2,1,1.9379
0,0,0,0,0,0,0,1,1,1.8095
0,0,0,0,0,0,0,1,1,1.9091
0,0,0,0,0,0,0,1,1,1.818
0,0,0,0,0,0,0,0,0,5.0127
0,0,0,0,0,0,0,0,0,5.0041
0,0,0,0,0,0,0,1,1,2.1694
0,0,0,0,0,0,0,2,1,1.5266
0,0,0,0,0,0,0,2,1,1.8444
0,0,0,0,0,0,0,2,1,1.501
0,0,0,0,0,0,0,2,1,1.8317
0,0,0,0,0,0,0,2,1,1.7667
