SubjectID,SentenceID,Congruent,Familiar,LocationTop,CueValid,ST
1,9,0,1,0,0,0.0099814
1,5,1,0,0,1,0.00697
1,23,0,1,1,1,1.6841
1,15,0,1,0,1,1.5743
1,30,1,1,1,0,1.8489
1,25,0,0,0,0,0.0042999
1,25,1,0,0,0,1.9362
1,9,0,0,1,0,1.8476
1,6,1,1,1,1,1.6303
1,31,0,1,1,1,0.0036401
1,3,1,0,1,0,1.9512
1,2,1,1,1,0,0.014781
1,32,1,0,0,0,0.00011827
1,13,0,0,1,1,1.6124
1,25,0,1,1,0,1.6321
1,3,1,0,1,1,0.003094
1,20,0,1,0,0,1.7653
1,21,0,0,1,1,1.5633
1,29,1,1,1,1,1.35
1,11,0,0,1,1,1.5092
1,31,1,0,0,1,0.0088957
1,6,1,0,1,1,1.6603
1,6,1,0,0,1,1.506
1,30,0,1,1,0,1.409
1,20,0,1,1,0,1.6263
1,17,0,0,1,1,1.5016
1,9,1,1,1,1,1.7212
1,10,0,0,1,0,1.6612
1,26,0,1,0,0,1.4834
1,24,0,0,0,1,1.6783
1,8,0,1,1,0,1.6916
1,11,0,1,1,0,1.5558
1,1,0,1,1,1,1.7351
1,22,0,0,0,1,1.6098
1,21,0,1,0,1,1.7339
1,16,1,0,0,1,1.8416
1,14,0,1,0,1,1.4112
1,8,0,0,1,1,1.8111
1,14,0,0,0,0,1.7349
1,22,0,0,1,0,1.7614
1,13,1,0,1,0,1.5422
1,1,0,1,0,1,1.4911
1,9,1,1,0,1,1.5407
1,4,1,0,1,0,1.6121
1,7,0,0,1,1,1.9359
1,11,1,0,1,0,1.8126
1,21,0,1,1,0,1.5261
1,8,1,1,0,0,1.4285
1,11,1,1,1,0,1.6936
1,28,0,1,0,1,1.7704
1,16,0,0,1,0,1.4558
1,5,0,1,0,0,1.5472
1,9,0,0,0,1,1.8681
1,9,0,0,0,0,1.5998
1,32,0,1,0,1,0.0084052
1,12,1,1,0,0,1.5169
1,30,1,1,1,1,1.4115
1,11,1,1,1,1,1.7134
1,2,1,0,1,1,1.6591
1,12,1,1,1,0,1.5473
1,3,0,0,0,1,1.6039
1,21,1,0,1,1,1.5272
1,26,1,0,1,1,1.4659
1,16,1,1,1,1,1.4865
1,20,0,1,1,1,1.8065
1,3,1,1,1,0,0.014686
1,8,0,0,0,1,1.5301
1,16,0,1,1,0,1.3837
1,19,1,1,0,0,1.4509
1,7,1,0,1,1,1.6667
1,27,0,0,1,1,1.3437
1,26,0,0,0,1,1.66
1,26,0,0,0,0,1.9661
1,16,0,0,0,0,0.0022022
1,20,0,0,1,1,1.4906
1,32,1,1,0,0,0.0039298
1,21,0,0,0,1,1.4948
1,3,1,1,0,0,1.805
1,15,1,1,1,1,1.5935
1,31,0,0,1,1,0.00055871
1,16,1,1,0,1,1.4484
1,17,0,1,0,0,1.5435
1,8,0,0,0,0,1.7054
1,23,0,0,0,1,1.9734
1,8,1,0,1,0,1.6197
1,22,0,1,0,1,1.8231
1,30,0,1,0,0,1.5336
1,14,1,0,1,1,1.6063
1,1,0,0,0,1,1.6387
1,19,0,0,0,0,1.8122
1,9,1,0,1,1,1.5858
1,20,1,0,1,1,1.727
1,31,1,0,1,1,0.016333
1,5,1,1,1,1,1.7983
1,10,0,0,1,1,1.5659
1,21,0,1,0,0,1.5624
1,16,0,0,1,1,1.6254
1,14,0,0,0,1,1.5586
1,4,0,1,0,1,1.7883
1,31,0,0,0,0,0.0018733
1,3,1,1,0,1,1.8501
1,15,0,1,1,1,1.5124
1,13,1,1,1,1,0.0079142
1,4,0,0,0,1,1.521
1,16,0,0,0,1,1.7913
1,25,0,0,1,1,1.4834
1,2,0,1,0,1,1.5254
1,29,0,1,0,0,1.6632
1,12,1,1,1,1,1.5036
1,12,0,0,1,0,1.5446
1,5,1,0,1,0,0.0052913
1,24,0,0,0,0,1.7993
1,19,0,1,1,1,0.011296
1,22,0,0,1,1,1.4394
1,27,1,0,0,1,1.9344
1,25,1,0,0,1,1.5764
1,4,0,0,1,0,1.4916
1,10,1,1,1,0,1.531
1,8,0,1,1,1,1.7979
1,31,1,0,0,0,0.014876
1,11,0,1,0,1,1.5811
1,28,0,1,0,0,1.3914
1,6,1,1,0,0,1.7554
1,17,1,1,0,0,1.3173
1,25,1,0,1,1,1.7653
1,12,1,0,1,0,1.8146
1,10,1,1,0,0,1.4246
1,24,1,1,0,0,1.5748
1,7,0,0,1,0,1.5545
1,25,0,1,0,0,1.9451
1,1,1,0,1,1,1.6168
1,18,1,0,0,1,1.6273
1,3,0,0,1,1,1.7239
1,30,0,0,1,0,1.5836
1,30,0,1,1,1,1.5019
1,27,0,1,0,0,1.4599
1,13,1,0,1,1,1.4131
1,22,0,1,1,1,1.4666
1,27,0,1,1,1,1.7526
1,28,0,0,0,0,1.5113
1,4,0,1,1,1,1.4643
1,20,1,1,0,0,1.3622
1,13,0,1,1,0,1.4454
1,10,0,1,1,1,1.5933
1,19,0,0,0,1,1.5455
1,16,0,1,1,1,1.5597
1,21,1,1,0,0,1.3307
1,30,0,0,1,1,1.5777
1,14,1,1,0,0,0.006989
1,15,0,1,0,0,1.531
1,9,1,0,0,0,1.9092
1,18,1,0,0,0,1.6545
1,24,0,1,1,1,1.9174
1,19,0,1,0,0,1.8812
1,2,1,0,0,0,0.014143
1,5,1,1,0,1,0.013368
1,14,1,1,1,0,1.5365
1,29,1,1,1,0,1.9204
1,13,1,0,0,1,1.6953
1,23,0,0,1,0,1.7174
1,4,0,1,0,0,1.6322
1,8,0,1,0,1,1.7237
1,1,1,0,0,0,1.6467
1,15,1,1,0,1,1.4363
1,3,0,1,0,1,1.9985
1,32,0,0,0,0,0.010634
1,22,1,0,1,1,1.5467
1,28,0,0,1,0,1.7237
1,14,0,1,1,0,1.6922
1,6,1,0,0,0,1.5353
1,22,1,0,1,0,0.008362
1,26,0,0,1,0,1.4687
1,17,1,1,1,1,1.9806
1,13,0,0,0,0,1.2776
1,32,1,1,1,1,0.016351
1,27,0,0,0,0,1.4143
1,15,0,0,0,1,1.4526
1,24,1,0,1,0,1.5165
1,4,1,1,0,1,1.532
1,18,1,1,0,1,1.541
1,19,0,0,1,0,1.7816
1,17,0,0,1,0,1.8309
1,24,1,0,1,1,1.7706
1,10,1,1,0,1,1.8164
1,23,0,1,0,0,1.6752
1,24,1,1,0,1,1.5538
