subID,Trial_number,Sentence_ID,Sentence_pixel_length,Congruent,Familiar,LocationTop,Cued,Trialcorrect,Trialbroken,ST
2,1,21,114,1,1,0,1,1,1,1.4244
2,2,19,115,1,1,1,0,0,1,1.4893
2,3,8,129,1,1,1,1,1,1,1.7798
2,4,21,109,0,0,1,1,1,1,1.619
2,5,9,125,1,1,0,0,1,1,1.2445
2,6,11,125,0,0,1,0,1,1,1.4919
2,7,11,123,1,1,1,1,1,1,1.9397
2,8,7,128,0,0,1,1,1,1,1.9862
2,9,31,0,0,0,0,0,0,0,0.0065463
2,10,16,128,1,0,1,1,1,1,1.8332
2,11,5,133,1,0,1,0,1,1,1.9854
2,12,22,115,0,0,0,1,1,1,1.2929
2,13,6,129,0,0,1,0,1,1,1.4184
2,14,5,129,0,1,0,1,1,1,1.3891
2,15,27,106,1,1,0,1,1,1,1.2885
2,16,3,129,1,0,1,1,1,1,1.5819
2,17,31,0,1,0,0,1,1,1,1.417
2,18,27,106,1,0,0,1,1,1,1.2128
2,19,19,115,1,1,1,1,1,1,1.4763
2,20,18,117,0,0,1,0,0,0,0.01167
2,21,24,110,1,0,0,0,1,1,1.2857
2,22,30,96,1,1,0,1,1,1,1.2969
2,23,21,114,1,0,1,1,1,1,1.8571
2,24,10,124,1,1,0,1,1,1,1.2339
2,25,9,129,0,1,0,0,1,1,1.2863
2,26,27,104,0,0,1,1,1,1,1.5614
2,27,15,121,0,1,0,1,1,1,1.3569
2,28,5,133,1,0,0,1,1,1,1.2647
2,29,19,112,0,0,1,1,1,1,1.4871
2,30,8,128,0,1,0,1,1,1,1.2225
2,31,12,122,1,1,1,0,1,1,1.6584
2,32,16,128,1,1,0,1,1,1,1.3026
2,33,15,116,1,0,1,0,1,1,1.4605
2,34,13,118,1,0,1,0,1,1,1.5713
2,35,26,106,1,0,0,1,1,1,1.5281
2,36,14,115,0,0,0,0,1,1,1.3005
2,37,2,131,1,0,1,0,1,1,1.5967
2,38,11,123,1,1,1,0,1,1,1.6477
2,39,24,110,0,0,0,0,1,1,1.1365
2,40,4,125,0,1,1,0,1,1,1.4294
2,41,17,113,1,0,1,0,1,1,1.7008
2,42,22,115,0,0,1,1,1,1,1.6143
2,43,27,106,1,1,1,1,1,1,1.844
2,44,28,100,0,0,0,0,1,1,1.1182
2,45,17,121,0,0,1,1,1,1,1.537
2,46,20,110,1,1,0,1,1,1,1.2926
2,47,14,121,1,0,1,1,1,1,1.4506
2,48,11,123,1,0,1,0,1,1,1.5162
2,49,8,128,0,0,1,0,1,1,1.5394
2,50,17,121,0,0,0,1,1,1,1.1226
2,51,31,0,1,1,0,0,0,0,0.0034154
2,52,21,114,1,1,1,1,1,1,1.6269
2,53,30,97,0,0,0,1,1,1,1.3338
2,54,18,117,0,1,1,1,1,1,1.5351
2,55,11,125,0,1,1,1,1,1,1.7226
2,56,11,125,0,0,0,0,1,1,1.2289
2,57,1,136,0,1,1,0,1,1,1.5167
2,58,8,129,1,1,0,0,1,1,1.2146
2,59,5,129,0,0,1,0,1,1,1.7191
2,60,29,102,0,0,0,0,1,1,1.254
2,61,22,115,0,1,1,1,1,1,1.9862
2,62,4,128,1,0,0,0,1,1,1.3599
2,63,6,129,0,0,0,1,1,1,1.3751
2,64,22,115,0,1,0,0,1,1,1.4798
2,65,7,127,1,1,1,1,1,1,1.5943
2,66,22,111,1,0,0,1,1,1,1.2896
2,67,18,111,1,0,1,1,1,1,1.5519
2,68,6,129,0,0,0,0,1,1,1.2468
2,69,15,121,0,0,1,0,1,1,1.5782
2,70,29,102,0,0,0,1,1,1,1.1587
2,71,14,115,0,1,0,1,1,1,1.2003
2,72,1,134,1,0,0,1,1,1,1.2786
2,73,16,111,0,1,0,1,1,1,1.2741
2,74,6,129,0,1,0,1,1,1,1.5595
2,75,20,115,0,1,1,1,1,1,1.4143
2,76,32,0,0,0,1,0,0,0,0.013819
2,77,19,115,1,1,0,1,1,1,1.2031
2,78,5,133,1,0,0,0,1,1,1.1778
2,79,10,128,0,1,0,1,1,1,1.315
2,80,8,128,0,1,1,1,1,1,1.5409
2,81,9,125,1,1,1,0,1,1,1.703
2,82,1,134,1,0,1,0,1,1,1.6191
2,83,16,128,1,1,1,0,0,0,0.011993
2,84,25,106,1,0,1,0,1,1,0.18704
2,85,1,134,1,0,1,1,1,1,1.4775
2,86,25,106,1,0,1,1,1,1,1.5488
2,87,25,111,0,1,1,1,1,1,1.6316
2,88,17,113,1,0,0,0,1,1,1.1913
2,89,18,111,1,0,0,1,1,1,1.1206
2,90,13,118,0,0,1,1,1,1,1.6984
2,91,27,104,0,1,1,1,1,1,1.6374
2,92,5,129,0,1,1,1,1,1,1.3032
2,93,6,129,1,1,1,1,1,1,1.5287
2,94,13,118,1,1,1,1,1,1,1.7336
2,95,31,0,0,0,1,0,0,0,0.0045856
2,96,1,136,0,1,0,0,1,1,1.1367
2,97,25,111,0,0,0,1,1,1,1.2852
2,98,26,105,0,0,0,0,1,1,1.3084
2,99,22,115,0,1,1,0,0,0,0.016612
2,100,3,129,1,0,1,0,1,1,1.6983
2,101,7,128,0,1,1,1,1,1,1.7583
2,102,6,129,0,0,1,1,1,1,1.586
2,103,5,133,1,0,1,1,1,1,1.6446
2,104,14,121,1,0,0,1,1,1,1.2257
2,105,28,100,0,1,0,1,1,1,1.3301
2,106,16,128,1,1,1,1,1,1,1.476
2,107,10,124,1,0,0,1,1,1,1.2259
2,108,14,115,0,0,0,1,1,1,1.2128
2,109,26,105,0,1,0,1,1,1,1.1234
2,110,30,97,0,1,1,1,1,1,1.5671
2,111,31,0,0,1,0,0,0,0,0.00069508
2,112,32,0,0,1,0,0,0,0,0.011526
2,113,26,106,1,0,0,0,1,1,1.3216
2,114,1,136,0,0,0,0,1,1,1.4297
2,115,22,111,1,1,1,0,1,1,1.7542
