subID,dot_lag,Trial_number,Sentence_ID,Sentence_pixel_length,Congruent_1,Familiar_1,LocationTop_1,Cued_1,Trialcorrect_1,Trialbroken_1,ST,subID
7,5,25,25,106,1,1,1,2,1,1,0.96841,7
7,5,7,7,128,2,2,1,1,1,1,0.883,7
7,5,11,11,123,1,2,2,1,1,1,0.76899,7
7,5,23,23,103,2,2,1,1,1,1,1.0851,7
7,5,12,12,117,2,2,1,1,1,1,0.67611,7
7,5,20,20,115,2,1,2,2,1,1,0.86997,7
7,5,29,29,93,1,2,2,1,0,1,0.89359,7
7,5,15,15,116,1,1,2,2,1,1,0.43308,7
7,5,16,16,128,1,2,1,2,1,1,0.72574,7
7,5,28,28,108,1,1,1,2,1,1,1.2145,7
7,5,27,27,106,1,2,2,1,1,1,0.7802,7
7,0,31,31,0,1,1,2,1,1,1,0.90309,7
7,5,29,29,93,1,1,2,2,1,1,0.82014,7
7,5,25,25,111,2,1,2,1,1,1,0.83083,7
7,5,8,8,128,2,2,2,2,1,1,0.92468,7
7,5,19,19,115,1,2,2,1,1,1,0.85815,7
7,5,15,15,116,1,1,1,1,1,1,0.96193,7
7,5,10,10,128,2,2,1,2,1,1,1.0544,7
7,5,25,25,111,2,2,1,1,1,1,0.9813,7
7,0.75,31,31,0,1,1,2,1,0,0,0.0031801,7
7,5,25,25,111,2,2,2,2,1,1,0.89911,7
7,5,6,6,129,2,1,2,1,1,1,0.95982,7
7,5,26,26,105,2,1,2,1,1,1,0.84528,7
7,5,24,24,110,1,1,1,1,1,1,0.93242,7
7,5,7,7,128,2,2,2,1,1,1,0.79702,7
7,5,12,12,117,2,1,1,1,1,1,1.1947,7
7,5,30,30,96,1,2,2,2,1,1,0.74379,7
7,5,28,28,100,2,1,1,2,1,1,1.1639,7
7,5,24,24,110,1,2,2,1,1,1,1.0253,7
7,5,22,22,111,1,1,2,1,1,1,0.88665,7
7,5,1,1,136,2,2,1,2,1,1,0.50384,7
7,5,18,18,117,2,2,1,2,1,1,0.91702,7
7,5,30,30,96,1,2,1,2,0,0,0.0015023,7
7,5,22,22,115,2,1,1,2,1,1,1.1108,7
7,0,32,32,0,1,1,1,1,1,1,0.8184,7
7,5,15,15,121,2,1,1,2,1,1,1.2446,7
7,5,29,29,102,2,2,1,1,1,1,0.84628,7
7,5,21,21,114,1,2,2,2,1,1,0.87923,7
7,5,15,15,121,2,2,1,2,1,1,0.97794,7
7,5,11,11,123,1,1,1,2,1,1,1.1333,7
7,5,26,26,105,2,2,2,1,1,1,0.82956,7
7,5,17,17,121,2,1,1,1,1,1,0.96773,7
7,5,20,20,115,2,1,1,1,1,1,0.94827,7
7,0.75,31,31,0,1,1,1,1,0,0,0.01313,7
7,5,27,27,104,2,2,2,2,1,1,0.83099,7
7,5,20,20,110,1,1,1,2,1,1,0.98208,7
7,5,14,14,115,2,2,1,1,1,1,0.95395,7
7,5,3,3,129,1,1,1,2,1,1,0.90914,7
7,5,15,15,121,2,2,2,2,1,1,0.87383,7
7,5,1,1,136,2,2,2,2,1,1,1.0043,7
7,5,14,14,121,1,2,2,2,1,1,0.7997,7
7,0.75,32,32,0,1,1,2,1,0,0,0.017305,7
7,5,18,18,111,1,2,1,1,1,1,1.039,7
7,5,7,7,127,1,2,2,1,1,1,0.8776,7
7,5,6,6,129,1,2,1,1,1,1,1.8097,7
7,5,29,29,93,1,2,1,2,1,1,1.0721,7
7,5,12,12,117,2,1,2,1,1,1,0.85299,7
7,5,10,10,124,1,2,2,2,1,1,0.89216,7
7,5,23,23,103,2,1,2,1,1,1,0.8833,7
7,5,3,3,133,2,2,1,1,1,1,0.95388,7
7,5,4,4,125,2,2,2,2,1,1,0.89525,7
7,5,27,27,104,2,1,2,1,1,1,0.83478,7
7,5,30,30,96,1,1,1,1,1,1,0.85037,7
7,5,3,3,129,1,2,1,1,1,1,0.79097,7
7,0,32,32,0,1,1,2,1,1,1,0.61856,7
7,5,11,11,125,2,1,1,1,1,1,0.9988,7
7,5,14,14,121,1,1,2,2,1,1,0.86709,7
7,5,21,21,114,1,1,2,2,1,1,0.68132,7
7,5,20,20,115,2,1,1,2,1,1,0.96557,7
7,5,4,4,128,1,1,2,1,1,1,0.96012,7
7,5,17,17,121,2,1,1,2,1,1,1.2264,7
7,5,12,12,117,2,2,2,2,1,1,1.0135,7
7,1,31,31,0,1,1,1,1,0,0,0.0001567,7
7,5,18,18,111,1,2,2,1,1,1,0.93753,7
7,5,29,29,102,2,1,1,2,1,1,0.62774,7
7,5,29,29,93,1,1,1,1,1,1,0.86071,7
7,5,17,17,121,2,2,1,2,1,1,0.81992,7
7,5,9,9,125,1,2,2,1,1,1,0.78778,7
7,5,10,10,124,1,1,1,2,1,1,0.94221,7
7,5,28,28,100,2,1,1,1,1,1,0.92424,7
7,5,18,18,117,2,1,1,1,1,1,0.78467,7
7,0.75,31,31,0,1,1,2,1,0,0,0.013414,7
7,5,22,22,115,2,1,1,1,1,1,0.86017,7
7,5,30,30,96,1,1,2,1,1,1,0.86265,7
7,5,16,16,128,1,2,1,1,1,1,1.2256,7
7,5,9,9,125,1,1,1,2,1,1,1.0219,7
7,5,10,10,128,2,1,1,2,1,1,1.1738,7
7,5,6,6,129,1,2,2,1,1,1,0.77652,7
7,5,19,19,115,1,1,1,2,1,1,0.92038,7
7,1,32,32,0,1,1,2,1,0,0,0.0003799,7
7,5,21,21,109,2,2,1,1,1,1,1.1006,7
7,5,16,16,128,1,2,2,2,1,1,0.83939,7
7,5,2,2,133,2,1,2,2,1,1,0.97169,7
7,5,24,24,110,1,1,2,1,1,1,0.82041,7
7,5,28,28,100,2,1,2,2,1,1,1.1123,7
7,5,10,10,128,2,1,2,2,1,1,0.8185,7
7,5,6,6,129,1,2,1,2,1,1,0.91095,7
7,5,27,27,104,2,2,2,1,1,1,0.77465,7
7,5,1,1,136,2,1,1,1,1,1,1.1339,7
7,5,7,7,127,1,2,2,2,1,1,0.98264,7
7,5,25,25,111,2,1,1,1,1,1,1.015,7
7,1,32,32,0,1,1,1,1,0,0,0.0081191,7
7,5,17,17,113,1,1,2,1,1,1,1.1888,7
7,5,7,7,128,2,1,2,1,1,1,0.93372,7
7,5,22,22,111,1,2,1,1,1,1,1.008,7
7,5,18,18,117,2,2,2,2,1,1,0.79233,7
7,5,25,25,111,2,1,1,2,1,1,1.2326,7
7,5,22,22,115,2,1,2,1,1,1,0.84979,7
7,5,17,17,113,1,2,2,1,1,1,0.67811,7
7,5,22,22,111,1,1,2,2,1,1,0.96256,7
7,5,27,27,104,2,1,2,2,1,1,0.81173,7
7,5,27,27,104,2,2,1,1,1,1,0.92824,7
7,0.75,31,31,0,1,1,2,1,0,0,0.0093727,7
7,5,13,13,118,2,2,2,1,1,1,0.8701,7
7,5,5,5,133,1,1,1,2,1,1,0.92381,7
7,5,24,24,110,1,1,1,2,1,1,1.1005,7
7,5,9,9,125,1,2,2,2,1,1,0.80058,7
7,5,13,13,118,2,2,2,2,1,1,0.84057,7
7,5,7,7,127,1,2,1,2,0,1,1.7058,7
7,5,30,30,96,1,1,1,2,1,1,1.388,7
7,1,31,31,0,1,1,1,1,0,0,0.0076649,7
7,5,30,30,97,2,1,1,2,1,1,0.86594,7
7,5,21,21,114,1,1,1,1,1,1,0.92044,7
7,5,25,25,106,1,2,1,1,1,1,0.91909,7
7,5,30,30,97,2,2,1,1,1,1,1.0905,7
7,5,13,13,118,1,2,2,1,1,1,0.81356,7
7,5,3,3,129,1,1,2,2,1,1,0.99548,7
7,5,30,30,97,2,1,2,1,1,1,0.83638,7
7,5,5,5,133,1,1,1,1,1,1,0.80979,7
7,5,16,16,111,2,1,2,1,1,1,0.81201,7
7,5,22,22,115,2,2,2,2,1,1,0.92697,7
7,5,24,24,110,1,2,1,1,1,1,0.87727,7
7,5,22,22,115,2,2,1,2,1,1,1.1626,7
7,5,10,10,128,2,2,2,2,1,1,0.85404,7
7,5,2,2,131,1,1,2,1,1,1,0.85434,7
7,1,31,31,0,1,1,2,1,0,0,0.00035557,7
7,5,9,9,125,1,1,2,1,1,1,0.75886,7
7,5,19,19,112,2,1,1,1,1,1,0.78405,7
7,5,2,2,131,1,2,1,2,1,1,0.85156,7
7,5,10,10,124,1,1,2,2,1,1,0.7194,7
7,5,21,21,114,1,1,2,1,1,1,0.9992,7
7,5,26,26,106,1,1,2,2,1,1,0.89969,7
7,5,26,26,106,1,2,2,2,1,1,0.87519,7
7,0.75,32,32,0,1,1,1,1,0,0,0.0085175,7
7,5,4,4,128,1,1,1,2,1,1,1.4189,7
7,5,10,10,128,2,1,1,1,1,1,0.80873,7
7,5,16,16,111,2,1,2,2,1,1,0.94545,7
7,5,13,13,118,1,1,2,1,1,1,0.84577,7
7,5,1,1,134,1,1,2,2,1,1,0.75884,7
7,5,19,19,112,2,2,1,1,1,1,0.90467,7
7,5,6,6,129,2,2,1,1,1,1,0.94894,7
7,5,3,3,129,1,1,2,1,1,1,0.83466,7
7,5,23,23,103,2,2,2,1,1,1,0.85113,7
7,5,18,18,117,2,2,2,1,1,1,0.78158,7
7,5,28,28,108,1,1,2,1,1,1,1.7321,7
7,1,31,31,0,1,1,1,1,0,0,0.0083519,7
7,5,22,22,115,2,2,1,1,1,1,1.2999,7
7,5,1,1,136,2,1,1,2,1,1,0.91803,7
7,5,12,12,117,2,2,2,1,1,1,0.78233,7
7,5,8,8,128,2,2,1,1,1,1,0.88524,7
7,5,3,3,129,1,2,2,2,1,1,0.97523,7
7,5,23,23,109,1,2,2,1,1,1,0.81943,7
7,5,13,13,118,1,1,2,2,1,1,1.3414,7
7,5,29,29,102,2,1,2,2,1,1,0.76991,7
7,5,18,18,111,1,1,2,1,1,1,0.9161,7
7,1,32,32,0,1,1,2,1,0,0,0.0078656,7
7,5,23,23,109,1,1,1,1,1,1,0.98268,7
7,5,9,9,129,2,1,2,1,1,1,0.96037,7
7,5,22,22,111,1,1,1,2,1,1,1.3619,7
7,5,29,29,102,2,2,2,1,1,1,0.89594,7
7,5,19,19,112,2,1,2,2,1,1,0.88043,7
7,5,8,8,129,1,2,1,2,1,1,0.94469,7
7,0,32,32,0,1,1,2,1,1,1,0.86375,7
7,5,19,19,115,1,1,1,1,1,1,0.92371,7
7,5,6,6,129,1,1,1,2,1,1,1.2054,7
7,5,5,5,129,2,2,2,2,1,1,0.74971,7
7,5,5,5,129,2,1,2,2,1,1,0.91358,7
7,5,14,14,121,1,2,1,1,1,1,1.58,7
7,5,14,14,115,2,1,2,2,1,1,0.95258,7
7,5,8,8,129,1,2,1,1,1,1,1.0639,7
7,5,9,9,129,2,2,1,2,1,1,0.91269,7
7,5,5,5,133,1,1,2,2,1,1,0.99558,7
