subID,domEyeR,threshStHi,threshStLo,thresh,Trial_number,Sentence_ID,Sentence_pixel_length,Congruent_1,Familiar_1,LocationTop_1,Cued_1,Trialcorrect_1,Trialbroken_1,ST
12,1,0.501,0.463,0.482,1,7,127,1,1,0,0,1,1,1.7683
12,1,0.501,0.463,0.482,2,19,112,0,0,1,0,1,1,1.5334
12,1,0.501,0.463,0.482,3,5,129,0,0,0,1,1,1,2.3169
12,1,0.501,0.463,0.482,4,24,110,0,0,1,0,1,1,1.5623
12,1,0.501,0.463,0.482,5,11,125,0,1,1,1,1,1,1.6091
12,1,0.501,0.463,0.482,6,27,106,1,0,1,1,1,1,1.444
12,1,0.501,0.463,0.482,7,32,0,1,1,1,1,1,1,1.6524
12,1,0.501,0.463,0.482,8,28,108,1,0,0,1,1,1,4.1177
12,1,0.501,0.463,0.482,9,10,124,1,1,0,0,1,1,1.3595
12,1,0.501,0.463,0.482,10,9,129,0,1,1,1,1,1,1.5838
12,1,0.501,0.463,0.482,11,11,123,1,0,1,0,1,1,1.7081
12,1,0.501,0.463,0.482,12,7,128,0,0,1,1,1,1,1.5861
12,1,0.501,0.463,0.482,13,1,136,0,1,1,1,1,1,1.228
12,1,0.501,0.463,0.482,14,27,106,1,1,1,0,1,1,1.357
12,1,0.501,0.463,0.482,15,22,115,0,0,0,1,1,1,2.4921
12,1,0.501,0.463,0.482,16,11,123,1,1,1,1,1,1,1.3964
12,1,0.501,0.463,0.482,17,7,128,0,0,0,1,1,1,1.3193
12,1,0.501,0.463,0.482,18,4,128,1,1,1,1,1,1,1.3729
12,1,0.501,0.463,0.482,19,31,0,1,1,1,1,1,1,1.819
12,1,0.501,0.463,0.482,20,8,128,0,0,1,1,1,1,1.5014
12,1,0.501,0.463,0.482,21,19,112,0,0,0,0,1,1,2.2956
12,1,0.501,0.463,0.482,22,24,110,0,1,1,0,1,1,1.5804
12,1,0.501,0.463,0.482,23,12,117,0,1,1,0,1,1,1.4438
12,1,0.501,0.463,0.482,24,10,128,0,1,0,0,1,1,1.6302
12,1,0.501,0.463,0.482,25,32,0,1,1,0,1,1,1,1.8476
12,1,0.501,0.463,0.482,26,4,128,1,0,1,1,1,1,1.4436
12,1,0.501,0.463,0.482,27,12,122,1,1,1,1,1,1,1.7218
12,1,0.501,0.463,0.482,28,13,118,0,0,0,1,1,1,1.7851
12,1,0.501,0.463,0.482,29,30,97,0,0,0,1,1,1,2.3623
12,1,0.501,0.463,0.482,30,12,122,1,0,0,0,1,1,1.7664
12,1,0.501,0.463,0.482,31,4,125,0,1,0,0,1,1,1.3943
12,1,0.501,0.463,0.482,32,27,104,0,1,0,1,1,1,3.4685
12,1,0.501,0.463,0.482,33,31,0,1,1,1,1,1,1,2.2037
12,1,0.501,0.463,0.482,34,11,125,0,0,0,1,1,1,1.9699
12,1,0.501,0.463,0.482,35,3,133,0,1,1,0,1,1,1.2935
12,1,0.501,0.463,0.482,36,27,104,0,0,0,1,1,1,2.046
12,1,0.501,0.463,0.482,37,4,128,1,1,1,0,1,1,1.4763
12,1,0.501,0.463,0.482,38,26,105,0,0,1,0,1,1,1.4759
12,1,0.501,0.463,0.482,39,15,116,1,1,0,1,1,1,1.3989
12,1,0.501,0.463,0.482,40,26,105,0,1,1,1,1,1,2.394
12,1,0.501,0.463,0.482,41,26,106,1,1,1,1,1,1,2.4543
12,1,0.501,0.463,0.482,42,30,96,1,0,1,0,1,1,1.5328
12,1,0.501,0.463,0.482,43,19,115,1,0,0,0,1,1,2.146
12,1,0.501,0.463,0.482,44,11,123,1,0,0,0,1,1,2.2544
12,1,0.501,0.463,0.482,45,32,0,1,1,1,1,1,1,1.8028
12,1,0.501,0.463,0.482,46,24,110,0,1,0,0,1,1,1.6951
12,1,0.501,0.463,0.482,47,22,115,0,1,1,1,1,1,1.3503
12,1,0.501,0.463,0.482,48,5,129,0,0,1,1,1,1,1.3699
12,1,0.501,0.463,0.482,49,15,121,0,0,1,0,1,1,1.8514
12,1,0.501,0.463,0.482,50,9,129,0,0,1,1,1,1,1.3686
12,1,0.501,0.463,0.482,51,12,122,1,1,0,1,1,1,1.9284
12,1,0.501,0.463,0.482,52,15,116,1,0,1,0,1,1,1.4819
12,1,0.501,0.463,0.482,53,26,106,1,0,1,1,1,1,2.2952
12,1,0.501,0.463,0.482,54,32,0,1,1,1,1,1,1,1.7221
12,1,0.501,0.463,0.482,55,3,129,1,0,1,0,1,1,2.3598
12,1,0.501,0.463,0.482,56,16,128,1,1,0,0,1,1,2.0275
12,1,0.501,0.463,0.482,57,30,96,1,0,0,0,1,1,1.6047
12,1,0.501,0.463,0.482,58,11,125,0,1,0,0,1,1,1.9289
12,1,0.501,0.463,0.482,59,5,133,1,1,1,1,1,1,2.1002
12,1,0.501,0.463,0.482,60,11,123,1,1,0,1,1,1,2.2591
12,1,0.501,0.463,0.482,61,32,0,1,1,0,1,1,1,1.8063
12,1,0.501,0.463,0.482,62,21,114,1,0,0,0,1,1,1.9609
12,1,0.501,0.463,0.482,63,22,111,1,1,0,1,1,1,1.4008
12,1,0.501,0.463,0.482,64,25,106,1,1,1,1,1,1,1.783
12,1,0.501,0.463,0.482,65,22,111,1,1,1,1,1,1,1.5708
12,1,0.501,0.463,0.482,66,10,128,0,1,0,1,1,1,2.8265
12,1,0.501,0.463,0.482,67,30,97,0,1,1,0,1,1,1.6828
12,1,0.501,0.463,0.482,68,4,125,0,1,0,1,1,1,1.5277
12,1,0.501,0.463,0.482,69,12,122,1,0,1,1,1,1,1.6468
12,1,0.501,0.463,0.482,70,28,108,1,0,1,0,1,1,2.5256
12,1,0.501,0.463,0.482,71,32,0,1,1,1,1,1,1,2.0751
12,1,0.501,0.463,0.482,72,21,114,1,1,0,1,1,1,1.4064
12,1,0.501,0.463,0.482,73,10,124,1,1,1,0,1,1,1.6218
12,1,0.501,0.463,0.482,74,22,115,0,1,0,1,1,1,2.4181
12,1,0.501,0.463,0.482,75,1,134,1,1,0,0,1,1,1.6559
12,1,0.501,0.463,0.482,76,3,133,0,0,0,1,1,1,1.9291
12,1,0.501,0.463,0.482,77,28,100,0,1,1,1,1,1,1.6433
12,1,0.501,0.463,0.482,78,31,0,1,1,1,1,1,1,1.8105
12,1,0.501,0.463,0.482,79,28,108,1,1,1,1,1,1,1.7722
12,1,0.501,0.463,0.482,80,11,123,1,1,1,0,1,1,1.8647
12,1,0.501,0.463,0.482,81,10,128,0,0,1,0,1,1,1.634
12,1,0.501,0.463,0.482,82,22,115,0,0,1,1,1,1,1.7522
12,1,0.501,0.463,0.482,83,13,118,0,1,1,0,1,1,1.723
12,1,0.501,0.463,0.482,84,19,112,0,1,1,1,1,1,2.1111
12,1,0.501,0.463,0.482,85,31,0,1,1,0,1,1,1,1.9984
12,1,0.501,0.463,0.482,86,7,128,0,1,0,1,1,1,2.1572
12,1,0.501,0.463,0.482,87,19,112,0,1,0,0,1,1,1.6999
12,1,0.501,0.463,0.482,88,4,128,1,0,0,1,1,1,1.8657
12,1,0.501,0.463,0.482,89,7,128,0,1,0,0,1,1,1.665
12,1,0.501,0.463,0.482,90,4,125,0,0,1,1,1,1,1.5842
12,1,0.501,0.463,0.482,91,4,128,1,0,1,0,1,1,1.3197
12,1,0.501,0.463,0.482,92,9,129,0,0,1,0,1,1,1.4884
12,1,0.501,0.463,0.482,93,9,129,0,0,0,1,1,1,2.3096
12,1,0.501,0.463,0.482,94,25,111,0,0,0,0,1,1,2.1633
12,1,0.501,0.463,0.482,95,17,113,1,1,0,1,1,1,1.7153
12,1,0.501,0.463,0.482,96,21,109,0,1,1,1,1,1,2.0139
12,1,0.501,0.463,0.482,97,32,0,1,1,0,1,1,1,1.8392
12,1,0.501,0.463,0.482,98,19,115,1,0,0,1,1,1,4.0017
12,1,0.501,0.463,0.482,99,9,125,1,1,1,1,1,1,1.5363
12,1,0.501,0.463,0.482,100,12,122,1,1,0,0,1,1,1.48
12,1,0.501,0.463,0.482,101,12,117,0,1,0,0,1,1,2.2325
12,1,0.501,0.463,0.482,102,3,129,1,1,0,1,1,1,1.6864
12,1,0.501,0.463,0.482,103,7,127,1,0,0,1,1,1,2.582
12,1,0.501,0.463,0.482,104,32,0,1,1,1,1,1,1,1.6844
12,1,0.501,0.463,0.482,105,12,117,0,0,0,1,1,1,2.4976
12,1,0.501,0.463,0.482,106,25,106,1,0,0,0,1,1,3.0083
12,1,0.501,0.463,0.482,107,15,116,1,0,1,1,1,1,3.1247
12,1,0.501,0.463,0.482,108,12,117,0,0,1,1,0,0,5.0117
12,1,0.501,0.463,0.482,109,17,113,1,1,1,0,1,1,1.9467
12,1,0.501,0.463,0.482,110,28,100,0,1,0,0,1,1,1.72
12,1,0.501,0.463,0.482,111,16,128,1,1,1,1,1,1,1.4118
12,1,0.501,0.463,0.482,112,4,125,0,0,0,0,1,1,1.8745
12,1,0.501,0.463,0.482,113,31,0,1,1,0,1,1,1,1.7003
12,1,0.501,0.463,0.482,114,21,114,1,1,0,0,1,1,2.0381
12,1,0.501,0.463,0.482,115,1,136,0,1,0,1,1,1,3.0813
12,1,0.501,0.463,0.482,116,22,111,1,0,1,1,0,0,5.0113
12,1,0.501,0.463,0.482,117,3,129,1,0,1,1,1,1,1.2974
12,1,0.501,0.463,0.482,118,8,129,1,0,1,0,1,1,2.0478
12,1,0.501,0.463,0.482,119,8,128,0,1,1,0,1,1,1.6538
12,1,0.501,0.463,0.482,120,16,128,1,1,0,1,1,1,1.5365
12,1,0.501,0.463,0.482,121,22,115,0,1,1,0,1,1,1.1515
12,1,0.501,0.463,0.482,122,32,0,1,1,0,1,1,1,1.6267
