Trial_number,Sentence_ID,Sentence_pixel_length,Congruent_1,Familiar_1,LocationTop_1,Cued_1,Trialcorrect_1,Trialbroken_1,ST
0,0,0,0,0,0,0,1,1,0.48662
0,0,0,0,0,0,0,1,1,1.2118
0,0,0,0,0,0,0,0,0,0.0099766
0,0,0,0,0,0,0,0,0,0.0056259
0,0,0,0,0,0,0,0,0,0.013126
0,0,0,0,0,0,0,1,1,1.4936
0,0,0,0,0,0,0,2,1,0.94377
0,0,0,0,0,0,0,1,1,1.8313
0,0,0,0,0,0,0,1,1,0.95405
0,0,0,0,0,0,0,1,1,1.5677
0,0,0,0,0,0,0,2,1,1.0283
0,0,0,0,0,0,0,0,0,0.0084001
0,0,0,0,0,0,0,1,1,1.6468
0,0,0,0,0,0,0,2,1,1.1673
0,0,0,0,0,0,0,2,1,0.97069
0,0,0,0,0,0,0,1,1,1.2344
0,0,0,0,0,0,0,1,1,1.6443
0,0,0,0,0,0,0,1,1,1.4569
0,0,0,0,0,0,0,0,0,0.010715
0,0,0,0,0,0,0,0,0,0.0082131
0,0,0,0,0,0,0,1,1,1.0855
0,0,0,0,0,0,0,0,0,0.015906
0,0,0,0,0,0,0,1,1,1.9597
0,0,0,0,0,0,0,1,1,1.6427
0,0,0,0,0,0,0,2,1,0.98167
0,0,0,0,0,0,0,1,1,1.7832
0,0,0,0,0,0,0,1,1,1.144
0,0,0,0,0,0,0,1,1,0.90939
0,0,0,0,0,0,0,0,0,0.014937
0,0,0,0,0,0,0,2,1,0.96046
0,0,0,0,0,0,0,1,1,1.1174
0,0,0,0,0,0,0,0,0,0.010341
0,0,0,0,0,0,0,1,1,1.2923
0,0,0,0,0,0,0,2,1,1.0576
0,0,0,0,0,0,0,1,1,1.6379
0,0,0,0,0,0,0,1,1,1.266
0,0,0,0,0,0,0,2,1,0.86736
0,0,0,0,0,0,0,1,1,1.4581
0,0,0,0,0,0,0,0,0,0.010583
0,0,0,0,0,0,0,2,1,1.0921
0,0,0,0,0,0,0,2,1,1.1558
0,0,0,0,0,0,0,1,1,1.6969
0,0,0,0,0,0,0,1,1,1.2736
0,0,0,0,0,0,0,1,1,1.6681
0,0,0,0,0,0,0,1,1,1.8116
0,0,0,0,0,0,0,0,0,0.0088071
0,0,0,0,0,0,0,0,0,0.0047279
0,0,0,0,0,0,0,0,0,0.012861
0,0,0,0,0,0,0,0,0,0.0049229
0,0,0,0,0,0,0,0,0,0.010664
0,0,0,0,0,0,0,2,1,1.1915
0,0,0,0,0,0,0,1,1,1.8898
0,0,0,0,0,0,0,1,1,1.1549
0,0,0,0,0,0,0,1,1,0.97761
0,0,0,0,0,0,0,1,1,1.2297
0,0,0,0,0,0,0,1,1,1.5982
0,0,0,0,0,0,0,2,1,1.1789
0,0,0,0,0,0,0,1,1,0.56421
0,0,0,0,0,0,0,1,1,0.8781
0,0,0,0,0,0,0,1,1,0.96156
0,0,0,0,0,0,0,1,1,1.1813
0,0,0,0,0,0,0,2,1,1.2218
0,0,0,0,0,0,0,1,1,1.3253
0,0,0,0,0,0,0,1,1,1.0036
