Trial_number,Sentence_ID,Sentence_pixel_length,Congruent_1,Familiar_1,LocationTop_1,Cued_1,Trialcorrect_1,Trialbroken_1,ST
0,0,0,0,0,0,0,1,1,4.8529
0,0,0,0,0,0,0,1,1,2.2065
0,0,0,0,0,0,0,1,1,1.5931
0,0,0,0,0,0,0,1,1,1.4263
0,0,0,0,0,0,0,1,1,2.0434
0,0,0,0,0,0,0,1,1,2.2645
0,0,0,0,0,0,0,1,1,1.241
0,0,0,0,0,0,0,1,1,1.6845
0,0,0,0,0,0,0,1,1,1.882
0,0,0,0,0,0,0,1,1,1.6371
0,0,0,0,0,0,0,0,0,5.0021
0,0,0,0,0,0,0,2,1,3.9017
0,0,0,0,0,0,0,1,1,1.4274
0,0,0,0,0,0,0,1,1,3.3458
0,0,0,0,0,0,0,1,1,1.5685
0,0,0,0,0,0,0,2,1,1.7721
0,0,0,0,0,0,0,1,1,0.89124
0,0,0,0,0,0,0,2,1,1.1739
0,0,0,0,0,0,0,1,1,1.2701
0,0,0,0,0,0,0,2,1,2.7914
0,0,0,0,0,0,0,2,1,1.5836
0,0,0,0,0,0,0,1,1,1.1726
0,0,0,0,0,0,0,1,1,1.5604
0,0,0,0,0,0,0,2,1,1.9262
0,0,0,0,0,0,0,1,1,2.2831
0,0,0,0,0,0,0,2,1,1.8823
0,0,0,0,0,0,0,1,1,1.7455
0,0,0,0,0,0,0,1,1,1.6183
0,0,0,0,0,0,0,1,1,2.6627
0,0,0,0,0,0,0,1,1,1.3562
0,0,0,0,0,0,0,1,1,1.5657
0,0,0,0,0,0,0,2,1,2.0687
0,0,0,0,0,0,0,1,1,1.373
0,0,0,0,0,0,0,1,1,1.4185
0,0,0,0,0,0,0,1,1,1.5948
0,0,0,0,0,0,0,1,1,1.3185
0,0,0,0,0,0,0,1,1,2.1634
0,0,0,0,0,0,0,2,1,1.6055
0,0,0,0,0,0,0,1,1,1.4033
0,0,0,0,0,0,0,1,1,1.391
0,0,0,0,0,0,0,2,1,1.9491
0,0,0,0,0,0,0,1,1,1.303
0,0,0,0,0,0,0,1,1,1.7827
0,0,0,0,0,0,0,2,1,1.8497
0,0,0,0,0,0,0,2,1,2.226
0,0,0,0,0,0,0,2,1,1.8732
0,0,0,0,0,0,0,2,1,1.972
0,0,0,0,0,0,0,1,1,1.6303
