Trial_number,Sentence_ID,Sentence_pixel_length,Congruent_1,Familiar_1,LocationTop_1,Cued_1,Trialcorrect_1,Trialbroken_1,ST
0,0,0,0,0,0,0,1,1,1.9266
0,0,0,0,0,0,0,0,0,5.0133
0,0,0,0,0,0,0,1,1,2.0094
0,0,0,0,0,0,0,1,1,1.1336
0,0,0,0,0,0,0,1,1,0.79979
0,0,0,0,0,0,0,1,1,0.94641
0,0,0,0,0,0,0,1,1,0.9043
0,0,0,0,0,0,0,1,1,0.97488
0,0,0,0,0,0,0,1,1,1.0535
0,0,0,0,0,0,0,1,1,2.9784
0,0,0,0,0,0,0,1,1,1.2587
0,0,0,0,0,0,0,1,1,1.1441
0,0,0,0,0,0,0,1,1,1.7644
0,0,0,0,0,0,0,1,1,1.9141
0,0,0,0,0,0,0,2,1,0.91977
0,0,0,0,0,0,0,1,1,1.8111
0,0,0,0,0,0,0,2,1,1.8538
0,0,0,0,0,0,0,2,1,1.8754
0,0,0,0,0,0,0,0,0,5.007
0,0,0,0,0,0,0,2,1,1.8536
0,0,0,0,0,0,0,0,0,5.0157
0,0,0,0,0,0,0,1,1,1.3327
0,0,0,0,0,0,0,1,1,2.0225
0,0,0,0,0,0,0,1,1,2.4684
0,0,0,0,0,0,0,1,1,1.0177
0,0,0,0,0,0,0,1,1,1.0509
0,0,0,0,0,0,0,1,1,0.89972
0,0,0,0,0,0,0,1,1,0.84234
0,0,0,0,0,0,0,1,1,1.0644
0,0,0,0,0,0,0,1,1,0.86118
0,0,0,0,0,0,0,1,1,1.1823
0,0,0,0,0,0,0,1,1,2.4594
0,0,0,0,0,0,0,1,1,1.758
0,0,0,0,0,0,0,2,1,0.90348
0,0,0,0,0,0,0,1,1,1.0279
0,0,0,0,0,0,0,1,1,1.3107
0,0,0,0,0,0,0,0,0,5.0114
0,0,0,0,0,0,0,1,1,1.0001
0,0,0,0,0,0,0,1,1,1.5958
0,0,0,0,0,0,0,1,1,1.4669
0,0,0,0,0,0,0,1,1,1.6149
0,0,0,0,0,0,0,1,1,1.5933
0,0,0,0,0,0,0,2,1,1.4556
0,0,0,0,0,0,0,1,1,1.6272
0,0,0,0,0,0,0,0,0,5.0093
0,0,0,0,0,0,0,1,1,1.7165
0,0,0,0,0,0,0,0,0,5.0101
0,0,0,0,0,0,0,2,1,1.3662
0,0,0,0,0,0,0,1,1,1.3987
0,0,0,0,0,0,0,2,1,1.4973
0,0,0,0,0,0,0,1,1,1.554
0,0,0,0,0,0,0,1,1,1.3887
