subID,domEyeR,threshStHi,threshStLo,thresh,Trial_number,Sentence_ID,Sentence_pixel_length,Congruent_1,Familiar_1,LocationTop_1,Cued_1,Trialcorrect_1,Trialbroken_1,ST
25,1,0.57166,0.46674,0.5192,1,14,121,1,1,1,0,1,1,1.755
25,1,0.57166,0.46674,0.5192,2,1,136,0,0,0,1,1,1,2.0303
25,1,0.57166,0.46674,0.5192,3,1,136,0,0,0,1,1,1,2.2934
25,1,0.57166,0.46674,0.5192,4,28,100,0,0,0,1,1,1,1.6122
25,1,0.57166,0.46674,0.5192,5,26,106,1,0,0,1,1,1,1.8868
25,1,0.57166,0.46674,0.5192,6,16,111,0,1,1,0,1,1,1.4977
25,1,0.57166,0.46674,0.5192,7,10,128,0,0,0,1,1,1,1.3422
25,1,0.57166,0.46674,0.5192,8,22,115,0,1,0,1,1,1,1.7369
25,1,0.57166,0.46674,0.5192,9,21,109,0,0,0,1,1,1,1.1976
25,1,0.57166,0.46674,0.5192,10,17,121,0,1,0,1,1,1,1.2857
25,1,0.57166,0.46674,0.5192,11,2,133,0,0,0,1,1,1,1.0549
25,1,0.57166,0.46674,0.5192,12,18,111,1,1,0,1,1,1,1.0976
25,1,0.57166,0.46674,0.5192,13,9,125,1,1,0,1,1,1,1.1671
25,1,0.57166,0.46674,0.5192,14,27,106,1,0,0,1,1,1,1.0055
25,1,0.57166,0.46674,0.5192,15,28,108,1,1,0,1,1,1,0.99501
25,1,0.57166,0.46674,0.5192,16,17,113,1,0,1,0,1,1,1.1805
25,1,0.57166,0.46674,0.5192,17,30,97,0,0,0,1,1,1,1.1289
25,1,0.57166,0.46674,0.5192,18,20,110,1,0,0,1,1,1,1.8571
25,1,0.57166,0.46674,0.5192,19,25,111,0,0,1,0,1,1,1.2338
25,1,0.57166,0.46674,0.5192,20,22,111,1,1,1,0,1,1,1.1924
25,1,0.57166,0.46674,0.5192,21,13,118,0,0,1,0,1,1,1.3087
25,1,0.57166,0.46674,0.5192,22,24,110,0,1,0,1,1,1,0.93546
25,1,0.57166,0.46674,0.5192,23,29,102,0,0,0,1,1,1,1.0463
25,1,0.57166,0.46674,0.5192,24,26,105,0,0,1,0,1,1,1.323
25,1,0.57166,0.46674,0.5192,25,20,110,1,0,1,0,1,1,1.2428
25,1,0.57166,0.46674,0.5192,26,7,128,0,0,0,1,1,1,1.0377
25,1,0.57166,0.46674,0.5192,27,25,106,1,0,1,0,1,1,1.2091
25,1,0.57166,0.46674,0.5192,28,30,96,1,1,0,1,1,1,0.95969
25,1,0.57166,0.46674,0.5192,29,27,104,0,1,0,1,1,1,0.99541
25,1,0.57166,0.46674,0.5192,30,19,112,0,0,1,0,1,1,1.0802
25,1,0.57166,0.46674,0.5192,31,16,128,1,1,0,1,1,1,3.7178
25,1,0.57166,0.46674,0.5192,32,31,0,1,1,1,0,0,0,5.0111
25,1,0.57166,0.46674,0.5192,33,31,0,1,1,1,0,0,0,5.0165
25,1,0.57166,0.46674,0.5192,34,30,96,1,0,0,1,1,1,2.2229
25,1,0.57166,0.46674,0.5192,35,27,106,1,0,0,1,1,1,1.3086
25,1,0.57166,0.46674,0.5192,36,13,118,0,0,0,1,1,1,1.1502
25,1,0.57166,0.46674,0.5192,37,3,133,0,1,0,1,1,1,1.2363
25,1,0.57166,0.46674,0.5192,38,31,0,1,1,1,0,0,0,5.0002
25,1,0.57166,0.46674,0.5192,39,26,106,1,1,0,1,1,1,1.5008
25,1,0.57166,0.46674,0.5192,40,8,128,0,0,0,1,1,1,1.2553
25,1,0.57166,0.46674,0.5192,41,23,103,0,0,1,0,1,1,1.5518
25,1,0.57166,0.46674,0.5192,42,31,0,1,1,1,0,0,0,5.0097
25,1,0.57166,0.46674,0.5192,43,26,105,0,0,0,1,1,1,2.0524
25,1,0.57166,0.46674,0.5192,44,24,110,0,0,1,0,1,1,1.0504
25,1,0.57166,0.46674,0.5192,45,29,93,1,1,1,0,1,1,1.2936
25,1,0.57166,0.46674,0.5192,46,31,0,1,1,1,0,0,0,5.0067
25,1,0.57166,0.46674,0.5192,47,20,110,1,1,0,1,1,1,1.614
25,1,0.57166,0.46674,0.5192,48,7,127,1,0,0,1,1,1,1.1503
25,1,0.57166,0.46674,0.5192,49,27,104,0,1,1,0,1,1,1.1397
25,1,0.57166,0.46674,0.5192,50,7,128,0,1,0,1,1,1,1.3742
25,1,0.57166,0.46674,0.5192,51,30,97,0,0,1,0,1,1,1.1557
25,1,0.57166,0.46674,0.5192,52,13,118,1,1,0,1,1,1,1.3627
25,1,0.57166,0.46674,0.5192,53,31,0,1,1,1,0,0,0,5.0019
25,1,0.57166,0.46674,0.5192,54,31,0,1,1,1,0,0,0,5.0125
25,1,0.57166,0.46674,0.5192,55,23,109,1,0,0,1,1,1,1.1853
25,1,0.57166,0.46674,0.5192,56,6,129,1,0,0,1,1,1,1.0965
25,1,0.57166,0.46674,0.5192,57,4,125,0,0,0,1,1,1,1.2152
25,1,0.57166,0.46674,0.5192,58,16,111,0,0,1,0,1,1,1.1978
25,1,0.57166,0.46674,0.5192,59,18,111,1,1,0,1,1,1,1.0103
25,1,0.57166,0.46674,0.5192,60,19,115,1,1,0,1,1,1,0.95483
25,1,0.57166,0.46674,0.5192,61,29,93,1,0,1,0,1,1,1.0773
25,1,0.57166,0.46674,0.5192,62,30,96,1,0,1,0,1,1,1.2018
25,1,0.57166,0.46674,0.5192,63,21,109,0,1,0,1,1,1,2.0179
25,1,0.57166,0.46674,0.5192,64,25,111,0,1,0,1,1,1,2.6065
25,1,0.57166,0.46674,0.5192,65,13,118,1,0,0,1,1,1,1.6841
25,1,0.57166,0.46674,0.5192,66,8,129,1,0,0,1,1,1,1.1984
25,1,0.57166,0.46674,0.5192,67,20,110,1,0,0,1,1,1,1.3309
25,1,0.57166,0.46674,0.5192,68,18,117,0,1,0,1,1,1,1.4877
25,1,0.57166,0.46674,0.5192,69,13,118,0,1,1,0,1,1,1.107
25,1,0.57166,0.46674,0.5192,70,9,125,1,0,0,1,1,1,1.5119
25,1,0.57166,0.46674,0.5192,71,31,0,1,1,1,0,0,0,5.0059
25,1,0.57166,0.46674,0.5192,72,2,133,0,0,0,1,1,1,1.4683
25,1,0.57166,0.46674,0.5192,73,12,117,0,0,0,1,1,1,1.2674
25,1,0.57166,0.46674,0.5192,74,20,115,0,1,0,1,1,1,1.4749
25,1,0.57166,0.46674,0.5192,75,12,122,1,0,0,1,1,1,1.3889
25,1,0.57166,0.46674,0.5192,76,24,110,1,0,0,1,1,1,1.1866
25,1,0.57166,0.46674,0.5192,77,2,131,1,1,0,1,1,1,1.1381
25,1,0.57166,0.46674,0.5192,78,22,111,1,0,1,0,1,1,2.3688
