subID,domEyeR,threshStHi,threshStLo,thresh,Trial_number,Sentence_ID,Sentence_pixel_length,Congruent_1,Familiar_1,LocationTop_1,LocationcuedTop_1,Trialcorrect_1,Trialbroken_1,ST
49,1,0.24862,0.2398,0.24421,1,10,124,1,0,0,1,1,1,1.1426
49,1,0.24862,0.2398,0.24421,2,15,121,0,1,1,1,1,1,1.7793
49,1,0.24862,0.2398,0.24421,3,28,100,0,0,0,1,1,1,1.3451
49,1,0.24862,0.2398,0.24421,4,28,100,0,0,1,1,1,1,1.4134
49,1,0.24862,0.2398,0.24421,5,2,133,0,1,0,1,1,1,1.5021
49,1,0.24862,0.2398,0.24421,6,12,117,0,0,1,1,1,1,1.3269
49,1,0.24862,0.2398,0.24421,7,23,103,0,1,1,1,1,1,2.0985
49,1,0.24862,0.2398,0.24421,8,6,129,1,1,0,1,1,1,1.2742
49,1,0.24862,0.2398,0.24421,9,26,106,1,0,1,1,1,1,1.2292
49,1,0.24862,0.2398,0.24421,10,22,111,1,1,0,1,1,1,1.2531
49,1,0.24862,0.2398,0.24421,11,6,129,0,0,0,1,1,1,1.7598
49,1,0.24862,0.2398,0.24421,12,3,133,0,0,0,1,1,1,1.6472
49,1,0.24862,0.2398,0.24421,13,14,121,1,1,1,1,1,1,1.42
49,1,0.24862,0.2398,0.24421,14,25,106,1,1,1,1,1,1,1.9338
49,1,0.24862,0.2398,0.24421,15,13,118,1,1,0,1,1,1,1.3518
49,1,0.24862,0.2398,0.24421,16,10,128,0,1,1,1,1,1,2.1412
49,1,0.24862,0.2398,0.24421,17,26,105,0,0,0,1,1,1,1.1681
49,1,0.24862,0.2398,0.24421,18,29,93,1,1,0,1,1,1,1.1197
49,1,0.24862,0.2398,0.24421,19,30,97,0,1,1,1,1,1,1.7196
49,1,0.24862,0.2398,0.24421,20,23,109,1,0,0,1,1,1,1.2211
49,1,0.24862,0.2398,0.24421,21,27,104,0,1,1,1,1,1,1.3547
49,1,0.24862,0.2398,0.24421,22,24,110,1,0,1,1,1,1,1.4232
49,1,0.24862,0.2398,0.24421,23,5,133,1,0,1,1,1,1,1.1519
49,1,0.24862,0.2398,0.24421,24,29,102,0,0,1,1,1,1,1.1746
49,1,0.24862,0.2398,0.24421,27,30,96,1,0,1,1,1,1,1.2243
49,1,0.24862,0.2398,0.24421,28,18,117,0,0,0,1,1,1,1.0541
49,1,0.24862,0.2398,0.24421,29,19,112,0,1,1,1,1,1,1.4056
49,1,0.24862,0.2398,0.24421,30,28,108,1,0,0,1,1,1,1.2043
49,1,0.24862,0.2398,0.24421,31,8,129,1,1,1,1,1,1,0.76374
49,1,0.24862,0.2398,0.24421,32,11,125,0,1,1,1,1,1,1.37
49,1,0.24862,0.2398,0.24421,33,17,113,1,0,1,1,1,1,1.2647
49,1,0.24862,0.2398,0.24421,34,26,106,1,1,1,1,1,1,1.2807
49,1,0.24862,0.2398,0.24421,35,22,115,0,0,1,1,1,1,1.1696
49,1,0.24862,0.2398,0.24421,36,3,129,1,1,1,1,1,1,1.2529
49,1,0.24862,0.2398,0.24421,37,25,106,1,0,1,1,1,1,1.32
49,1,0.24862,0.2398,0.24421,40,3,129,1,1,0,1,1,1,1.1984
49,1,0.24862,0.2398,0.24421,41,12,122,1,0,1,1,1,1,1.0631
49,1,0.24862,0.2398,0.24421,42,2,131,1,1,0,1,1,1,1.2482
49,1,0.24862,0.2398,0.24421,43,13,118,0,0,1,1,1,1,1.1805
49,1,0.24862,0.2398,0.24421,45,4,125,0,0,1,1,1,1,1.3955
49,1,0.24862,0.2398,0.24421,46,7,128,0,1,1,1,1,1,1.2082
49,1,0.24862,0.2398,0.24421,48,19,112,0,0,1,1,1,1,1.3287
49,1,0.24862,0.2398,0.24421,50,7,127,1,0,1,1,1,1,1.2566
49,1,0.24862,0.2398,0.24421,51,5,133,1,1,1,1,1,1,1.4467
49,1,0.24862,0.2398,0.24421,52,5,129,0,0,0,1,1,1,1.1593
